# Glossary in tab-separated format -*- coding: utf-8 -*-
Match	Kenglotadenn
Insert	Enlakaat
Machine Translation	Treiñ emgefreek
Export	Ezporzhiañ
View	Diskwel
Check Issues	Diskouez ar c'hudennoù
Segment	Rann
Target File	Restr pal
Local File Filters	Siloù ar restroù lec'hel
Global File Filters	Siloù ar restroù hollek
History Completion	Emglokaat istorel
History Prediction	Rakskrivañ istorel
Log	Renabl	Journal, stlenneg
Clipboard	Golver	gourel
Glossaries	Geriaouegi
Glossary	Geriaoueg
tokenizer	lemmatekaer
Auto-propagation	Skignadur-emgefreek
post-processing	goude-tretañ
commands	urzhiadoù
